Country,Education Level,Years of Experience,Employment,Salary,Continent
Brazil,Master’s degree,4.0,Full-time Employment,17040.0,South America
Uruguay,Post grad,15.0,Full-time Employment,44136.0,South America
Peru,Bachelor’s degree,2.0,Full-time Employment,53208.0,South America
Brazil,Bachelor’s degree,10.0,Full-time Employment,32988.0,South America
Ecuador,Bachelor’s degree,3.0,Full-time Employment,12000.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,12372.0,South America
Chile,Bachelor’s degree,1.0,Part-time Employment,24000.0,South America
Brazil,Bachelor’s degree,20.0,Full-time Employment,27488.0,South America
Brazil,Post grad,6.0,Full-time Employment,10176.0,South America
Argentina,Bachelor’s degree,36.0,Self-employed/Freelancer,29196.0,South America
Brazil,Less than a Bachelors,14.0,Full-time Employment,20892.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,41232.0,South America
Brazil,Master’s degree,7.0,Self-employed/Freelancer,27488.0,South America
Argentina,Less than a Bachelors,5.0,Full-time Employment,11292.0,South America
Brazil,Post grad,20.0,Full-time Employment,21996.0,South America
Argentina,Bachelor’s degree,7.0,Full-time Employment,13236.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,15120.0,South America
Argentina,Less than a Bachelors,15.0,Full-time Employment,18000.0,South America
Chile,Bachelor’s degree,6.0,Full-time Employment,45156.0,South America
Argentina,Less than a Bachelors,15.0,Full-time Employment,19852.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,12372.0,South America
Brazil,Bachelor’s degree,13.0,Full-time Employment,72000.0,South America
Brazil,Less than a Bachelors,22.0,Full-time Employment,25560.0,South America
Brazil,Less than a Bachelors,25.0,Full-time Employment,36300.0,South America
Colombia,Bachelor’s degree,6.0,Full-time Employment,26484.0,South America
Colombia,Master’s degree,28.0,Full-time Employment,63564.0,South America
Peru,Bachelor’s degree,8.0,Self-employed/Freelancer,12420.0,South America
Brazil,Bachelor’s degree,0.5,Full-time Employment,11820.0,South America
Brazil,Master’s degree,6.0,Full-time Employment,24744.0,South America
Brazil,Less than a Bachelors,20.0,Full-time Employment,54972.0,South America
Brazil,Less than a Bachelors,5.0,Full-time Employment,18696.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,34360.0,South America
Brazil,Less than a Bachelors,13.0,Full-time Employment,32988.0,South America
Brazil,Less than a Bachelors,18.0,Full-time Employment,32988.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,12372.0,South America
Colombia,Bachelor’s degree,11.0,Full-time Employment,26484.0,South America
Brazil,Post grad,2.0,Full-time Employment,22536.0,South America
Brazil,Less than a Bachelors,3.0,Full-time Employment,21996.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,7.0,Full-time Employment,30240.0,South America
Brazil,Post grad,3.0,Full-time Employment,15120.0,South America
Brazil,Less than a Bachelors,6.0,Full-time Employment,25020.0,South America
Brazil,Master’s degree,13.0,Full-time Employment,90708.0,South America
Argentina,Bachelor’s degree,16.0,Full-time Employment,101208.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,38484.0,South America
Colombia,Less than a Bachelors,13.0,Full-time Employment,14124.0,South America
Chile,Bachelor’s degree,8.0,Full-time Employment,30384.0,South America
Ecuador,Master’s degree,18.0,Self-employed/Freelancer,38400.0,South America
Brazil,Bachelor’s degree,7.0,Self-employed/Freelancer,13740.0,South America
Paraguay,Bachelor’s degree,7.0,Full-time Employment,82740.0,South America
Brazil,Bachelor’s degree,9.0,Full-time Employment,16488.0,South America
Brazil,Master’s degree,10.0,Full-time Employment,20845.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,19236.0,South America
Colombia,Less than a Bachelors,4.0,Full-time Employment,12360.0,South America
Brazil,Master’s degree,14.0,Full-time Employment,60000.0,South America
Brazil,Bachelor’s degree,11.0,Self-employed/Freelancer,64859.0,South America
Brazil,Bachelor’s degree,13.0,Full-time Employment,50856.0,South America
Ecuador,Bachelor’s degree,9.0,Self-employed/Freelancer,42000.0,South America
Chile,Bachelor’s degree,15.0,Full-time Employment,30108.0,South America
Brazil,Master’s degree,11.0,Full-time Employment,12372.0,South America
Brazil,Less than a Bachelors,8.0,Full-time Employment,19236.0,South America
Uruguay,Bachelor’s degree,12.0,Full-time Employment,88320.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,24744.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,38484.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,22449.0,South America
Brazil,Less than a Bachelors,2.0,Full-time Employment,11544.0,South America
Argentina,Less than a Bachelors,30.0,Full-time Employment,19464.0,South America
Argentina,Master’s degree,15.0,Full-time Employment,38928.0,South America
Argentina,Less than a Bachelors,14.0,Full-time Employment,41000.0,South America
Brazil,Master’s degree,10.0,Full-time Employment,11820.0,South America
Brazil,Bachelor’s degree,7.0,Full-time Employment,23364.0,South America
Brazil,Bachelor’s degree,15.0,Full-time Employment,25020.0,South America
Brazil,Bachelor’s degree,12.0,Full-time Employment,25312.0,South America
Argentina,Less than a Bachelors,6.0,Full-time Employment,62040.0,South America
Ecuador,Bachelor’s degree,20.0,Full-time Employment,26400.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,13740.0,South America
Brazil,Bachelor’s degree,9.0,Full-time Employment,188016.0,South America
Brazil,Less than a Bachelors,21.0,Full-time Employment,37104.0,South America
Chile,Post grad,0.5,Full-time Employment,12792.0,South America
Brazil,Master’s degree,22.0,Full-time Employment,63228.0,South America
Brazil,Master’s degree,5.0,Full-time Employment,17868.0,South America
Brazil,Bachelor’s degree,10.0,Full-time Employment,27492.0,South America
Ecuador,Bachelor’s degree,2.0,Full-time Employment,21600.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,24744.0,South America
Brazil,Bachelor’s degree,23.0,Full-time Employment,26664.0,South America
Brazil,Bachelor’s degree,10.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,17358.0,South America
Brazil,Bachelor’s degree,12.0,Part-time Employment,13740.0,South America
Uruguay,Less than a Bachelors,17.0,Full-time Employment,37824.0,South America
Argentina,Less than a Bachelors,4.0,Full-time Employment,10116.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,29779.0,South America
Brazil,Less than a Bachelors,0.5,Full-time Employment,13740.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,109956.0,South America
Chile,Less than a Bachelors,7.0,Full-time Employment,22584.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,20708.0,South America
Brazil,Bachelor’s degree,7.0,Full-time Employment,12372.0,South America
Brazil,Master’s degree,4.0,Full-time Employment,19236.0,South America
Brazil,Post grad,18.0,Full-time Employment,19788.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,95000.0,South America
Brazil,Master’s degree,3.0,Full-time Employment,14436.0,South America
Brazil,Less than a Bachelors,3.0,Full-time Employment,27492.0,South America
Brazil,Master’s degree,20.0,Full-time Employment,41232.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,24744.0,South America
Brazil,Bachelor’s degree,15.0,Full-time Employment,32070.0,South America
Brazil,Master’s degree,3.0,Full-time Employment,24744.0,South America
Brazil,Bachelor’s degree,13.0,Full-time Employment,19788.0,South America
Colombia,Post grad,12.0,Full-time Employment,38844.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,1.0,Full-time Employment,13740.0,South America
Argentina,Less than a Bachelors,6.0,Self-employed/Freelancer,36000.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,10992.0,South America
Brazil,Bachelor’s degree,12.0,Full-time Employment,90489.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,12.0,Full-time Employment,32664.0,South America
Brazil,Less than a Bachelors,12.0,Full-time Employment,16488.0,South America
Chile,Post grad,11.0,Full-time Employment,36132.0,South America
Brazil,Bachelor’s degree,7.0,Full-time Employment,48104.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,21720.0,South America
Brazil,Master’s degree,6.0,Full-time Employment,19236.0,South America
Chile,Post grad,3.0,Full-time Employment,12048.0,South America
Brazil,Master’s degree,18.0,Full-time Employment,27492.0,South America
Colombia,Bachelor’s degree,5.0,Full-time Employment,31788.0,South America
Brazil,Bachelor’s degree,12.0,Full-time Employment,39516.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,19236.0,South America
Brazil,Master’s degree,4.0,Full-time Employment,11268.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,25728.0,South America
Brazil,Bachelor’s degree,35.0,Self-employed/Freelancer,27492.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,20616.0,South America
Argentina,Less than a Bachelors,10.0,Full-time Employment,19464.0,South America
Argentina,Less than a Bachelors,6.0,Full-time Employment,14400.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,57267.0,South America
Chile,Post grad,5.0,Full-time Employment,52680.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,28044.0,South America
Brazil,Master’s degree,10.0,Full-time Employment,54977.0,South America
Brazil,Master’s degree,30.0,Full-time Employment,32070.0,South America
Brazil,Less than a Bachelors,31.0,Full-time Employment,17184.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,13740.0,South America
Brazil,Less than a Bachelors,14.0,Full-time Employment,41232.0,South America
Brazil,Post grad,6.0,Full-time Employment,68721.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,71472.0,South America
Brazil,Less than a Bachelors,8.0,Self-employed/Freelancer,20616.0,South America
Brazil,Less than a Bachelors,10.0,Self-employed/Freelancer,65976.0,South America
Brazil,Master’s degree,1.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,10440.0,South America
Brazil,Post grad,11.0,Full-time Employment,20064.0,South America
Brazil,Bachelor’s degree,1.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,18696.0,South America
Brazil,Less than a Bachelors,8.0,Full-time Employment,18696.0,South America
Brazil,Post grad,13.0,Full-time Employment,49476.0,South America
Brazil,Bachelor’s degree,10.0,Full-time Employment,13740.0,South America
Brazil,Less than a Bachelors,36.0,Self-employed/Freelancer,13740.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,10992.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,21996.0,South America
Brazil,Master’s degree,33.0,Full-time Employment,32070.0,South America
Uruguay,Bachelor’s degree,12.0,Full-time Employment,43500.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,10992.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,20064.0,South America
Brazil,Less than a Bachelors,13.0,Full-time Employment,28380.0,South America
Brazil,Less than a Bachelors,5.0,Self-employed/Freelancer,28860.0,South America
Brazil,Less than a Bachelors,3.0,Full-time Employment,11268.0,South America
Brazil,Less than a Bachelors,3.0,Full-time Employment,13692.0,South America
Brazil,Master’s degree,15.0,Full-time Employment,26112.0,South America
Brazil,Less than a Bachelors,7.0,Full-time Employment,10992.0,South America
Brazil,Less than a Bachelors,8.0,Full-time Employment,10992.0,South America
Brazil,Less than a Bachelors,7.0,Full-time Employment,19236.0,South America
Brazil,Less than a Bachelors,12.0,Full-time Employment,27492.0,South America
Brazil,Master’s degree,8.0,Full-time Employment,15120.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,13740.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,15672.0,South America
Brazil,Bachelor’s degree,17.0,Full-time Employment,54972.0,South America
Peru,Less than a Bachelors,7.0,Full-time Employment,26605.0,South America
Argentina,Less than a Bachelors,15.0,Full-time Employment,38928.0,South America
Brazil,Bachelor’s degree,13.0,Full-time Employment,23364.0,South America
Argentina,Less than a Bachelors,5.0,Self-employed/Freelancer,29196.0,South America
Brazil,Master’s degree,12.0,Full-time Employment,16488.0,South America
Argentina,Less than a Bachelors,3.0,Self-employed/Freelancer,15180.0,South America
Brazil,Bachelor’s degree,13.0,Full-time Employment,41232.0,South America
Brazil,Bachelor’s degree,1.0,Full-time Employment,26388.0,South America
Brazil,Less than a Bachelors,0.5,Full-time Employment,13740.0,South America
Argentina,Less than a Bachelors,17.0,Full-time Employment,51900.0,South America
Brazil,Bachelor’s degree,9.0,Full-time Employment,41232.0,South America
Brazil,Bachelor’s degree,30.0,Self-employed/Freelancer,32988.0,South America
Brazil,Bachelor’s degree,13.0,Full-time Employment,17868.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,16493.0,South America
Brazil,Bachelor’s degree,13.0,Full-time Employment,49476.0,South America
Argentina,Less than a Bachelors,4.0,Full-time Employment,16800.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,16488.0,South America
Brazil,Post grad,3.0,Full-time Employment,41232.0,South America
Brazil,Less than a Bachelors,2.0,Full-time Employment,13740.0,South America
Chile,Post grad,9.0,Full-time Employment,30108.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,13740.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,12372.0,South America
Uruguay,Less than a Bachelors,6.0,Full-time Employment,11028.0,South America
Argentina,Less than a Bachelors,37.0,Full-time Employment,17520.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,14660.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,12372.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,19236.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,20616.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,10992.0,South America
Brazil,Less than a Bachelors,7.0,Full-time Employment,32988.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,17409.0,South America
Argentina,Less than a Bachelors,35.0,Self-employed/Freelancer,50000.0,South America
Brazil,Bachelor’s degree,7.0,Full-time Employment,14844.0,South America
Brazil,Bachelor’s degree,9.0,Full-time Employment,26112.0,South America
Argentina,Less than a Bachelors,12.0,Full-time Employment,38928.0,South America
Brazil,Less than a Bachelors,6.0,Full-time Employment,21996.0,South America
Brazil,Master’s degree,4.0,Full-time Employment,45814.0,South America
Argentina,Less than a Bachelors,6.0,Full-time Employment,23352.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,11820.0,South America
Brazil,Post grad,15.0,Full-time Employment,27492.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,17868.0,South America
Brazil,Bachelor’s degree,9.0,Full-time Employment,30240.0,South America
Brazil,Bachelor’s degree,12.0,Full-time Employment,27492.0,South America
Argentina,Less than a Bachelors,28.0,Full-time Employment,23352.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,32528.0,South America
Brazil,Bachelor’s degree,4.0,Part-time Employment,16488.0,South America
Argentina,Less than a Bachelors,13.0,Full-time Employment,25296.0,South America
Argentina,Bachelor’s degree,18.0,Self-employed/Freelancer,23352.0,South America
Argentina,Bachelor’s degree,25.0,Self-employed/Freelancer,29196.0,South America
Brazil,Less than a Bachelors,3.0,Full-time Employment,10992.0,South America
Brazil,Post grad,5.0,Full-time Employment,25944.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,17040.0,South America
Colombia,Bachelor’s degree,4.0,Full-time Employment,17652.0,South America
Brazil,Master’s degree,5.0,Full-time Employment,10992.0,South America
Brazil,Master’s degree,15.0,Full-time Employment,27492.0,South America
Brazil,Less than a Bachelors,7.0,Full-time Employment,16488.0,South America
Uruguay,Bachelor’s degree,6.0,Full-time Employment,28368.0,South America
Argentina,Less than a Bachelors,5.0,Full-time Employment,19464.0,South America
Brazil,Post grad,10.0,Full-time Employment,15120.0,South America
Brazil,Master’s degree,9.0,Self-employed/Freelancer,54972.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,21444.0,South America
Chile,Bachelor’s degree,8.0,Full-time Employment,18696.0,South America
Brazil,Less than a Bachelors,9.0,Full-time Employment,36000.0,South America
Brazil,Bachelor’s degree,10.0,Full-time Employment,16488.0,South America
Argentina,Less than a Bachelors,3.0,Full-time Employment,10704.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,24744.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,12096.0,South America
Brazil,Post grad,4.0,Full-time Employment,35736.0,South America
Argentina,Less than a Bachelors,30.0,Self-employed/Freelancer,56766.0,South America
Brazil,Bachelor’s degree,16.0,Full-time Employment,60000.0,South America
Argentina,Less than a Bachelors,2.0,Full-time Employment,19464.0,South America
Argentina,Less than a Bachelors,9.0,Self-employed/Freelancer,18492.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,10440.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,26640.0,South America
Brazil,Bachelor’s degree,15.0,Full-time Employment,35736.0,South America
Brazil,Bachelor’s degree,9.0,Full-time Employment,14292.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,16378.0,South America
Brazil,Bachelor’s degree,10.0,Full-time Employment,24744.0,South America
Uruguay,Less than a Bachelors,6.0,Full-time Employment,60000.0,South America
Argentina,Bachelor’s degree,3.0,Full-time Employment,11676.0,South America
Argentina,Less than a Bachelors,25.0,Full-time Employment,21408.0,South America
Colombia,Bachelor’s degree,2.0,Full-time Employment,10596.0,South America
Argentina,Less than a Bachelors,3.0,Full-time Employment,15180.0,South America
Uruguay,Bachelor’s degree,4.0,Full-time Employment,37824.0,South America
Uruguay,Bachelor’s degree,10.0,Full-time Employment,47916.0,South America
Chile,Bachelor’s degree,0.5,Full-time Employment,30108.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,38484.0,South America
Uruguay,Bachelor’s degree,5.0,Full-time Employment,31524.0,South America
Brazil,Master’s degree,13.0,Full-time Employment,63228.0,South America
Brazil,Bachelor’s degree,10.0,Full-time Employment,60480.0,South America
Brazil,Less than a Bachelors,18.0,Full-time Employment,19236.0,South America
Brazil,Bachelor’s degree,14.0,Self-employed/Freelancer,24744.0,South America
Brazil,Less than a Bachelors,6.0,Full-time Employment,18967.0,South America
Argentina,Less than a Bachelors,1.0,Full-time Employment,14208.0,South America
Brazil,Bachelor’s degree,20.0,Full-time Employment,68724.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,19392.0,South America
Brazil,Bachelor’s degree,1.0,Full-time Employment,10992.0,South America
Brazil,Less than a Bachelors,5.0,Full-time Employment,12744.0,South America
Brazil,Less than a Bachelors,10.0,Self-employed/Freelancer,21996.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,32988.0,South America
Chile,Less than a Bachelors,10.0,Self-employed/Freelancer,48000.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,10992.0,South America
Chile,Post grad,7.0,Full-time Employment,24084.0,South America
Uruguay,Bachelor’s degree,3.0,Full-time Employment,44000.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,21996.0,South America
Chile,Post grad,2.0,Full-time Employment,16560.0,South America
Chile,Bachelor’s degree,10.0,Full-time Employment,25584.0,South America
Brazil,Bachelor’s degree,12.0,Full-time Employment,54972.0,South America
Argentina,Less than a Bachelors,39.0,Full-time Employment,26760.0,South America
Argentina,Master’s degree,30.0,Self-employed/Freelancer,19464.0,South America
Brazil,Less than a Bachelors,11.0,Full-time Employment,20616.0,South America
Chile,Less than a Bachelors,2.0,Full-time Employment,10536.0,South America
Brazil,Bachelor’s degree,6.0,Full-time Employment,40000.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,22536.0,South America
Brazil,Post grad,18.0,Full-time Employment,32988.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,19236.0,South America
Argentina,Less than a Bachelors,6.0,Full-time Employment,38439.0,South America
Brazil,Bachelor’s degree,12.0,Full-time Employment,16493.0,South America
Brazil,Less than a Bachelors,3.0,Full-time Employment,22536.0,South America
Brazil,Bachelor’s degree,4.0,Full-time Employment,24050.0,South America
Chile,Master’s degree,2.0,Full-time Employment,25584.0,South America
Brazil,Bachelor’s degree,32.0,Full-time Employment,49476.0,South America
Brazil,Bachelor’s degree,9.0,Self-employed/Freelancer,27492.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,20616.0,South America
Uruguay,Bachelor’s degree,4.0,Full-time Employment,33600.0,South America
Argentina,Master’s degree,30.0,Self-employed/Freelancer,36000.0,South America
Argentina,Less than a Bachelors,10.0,Full-time Employment,15576.0,South America
Brazil,Bachelor’s degree,7.0,Full-time Employment,16264.0,South America
Brazil,Bachelor’s degree,21.0,Full-time Employment,21996.0,South America
Brazil,Bachelor’s degree,6.0,Self-employed/Freelancer,54972.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,24744.0,South America
Brazil,Bachelor’s degree,11.0,Full-time Employment,41232.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,16488.0,South America
Peru,Bachelor’s degree,3.0,Full-time Employment,10644.0,South America
Argentina,Bachelor’s degree,15.0,Full-time Employment,48000.0,South America
Peru,Bachelor’s degree,7.0,Full-time Employment,12420.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,13740.0,South America
Bolivia,Bachelor’s degree,3.0,Self-employed/Freelancer,13884.0,South America
Chile,Bachelor’s degree,3.0,Full-time Employment,25584.0,South America
Brazil,Master’s degree,10.0,Full-time Employment,46728.0,South America
Argentina,Bachelor’s degree,11.0,Self-employed/Freelancer,62400.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,12876.0,South America
Brazil,Less than a Bachelors,2.0,Full-time Employment,11268.0,South America
Argentina,Less than a Bachelors,3.0,Full-time Employment,19464.0,South America
Argentina,Less than a Bachelors,1.0,Full-time Employment,10212.0,South America
Brazil,Bachelor’s degree,7.0,Self-employed/Freelancer,26112.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,10992.0,South America
Argentina,Post grad,20.0,Full-time Employment,13620.0,South America
Colombia,Post grad,16.0,Full-time Employment,42082.0,South America
Ecuador,Bachelor’s degree,8.0,Full-time Employment,18600.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,11544.0,South America
Uruguay,Master’s degree,4.0,Full-time Employment,48000.0,South America
Brazil,Less than a Bachelors,3.0,Full-time Employment,10992.0,South America
Chile,Master’s degree,6.0,Full-time Employment,27852.0,South America
Brazil,Less than a Bachelors,5.0,Full-time Employment,16488.0,South America
Brazil,Bachelor’s degree,8.0,Full-time Employment,41232.0,South America
Chile,Less than a Bachelors,1.0,Full-time Employment,10536.0,South America
Peru,Bachelor’s degree,6.0,Full-time Employment,20400.0,South America
Brazil,Less than a Bachelors,4.0,Full-time Employment,17316.0,South America
Brazil,Master’s degree,10.0,Full-time Employment,27492.0,South America
Argentina,Less than a Bachelors,8.0,Self-employed/Freelancer,15576.0,South America
Brazil,Bachelor’s degree,5.0,Full-time Employment,10692.0,South America
Colombia,Bachelor’s degree,4.0,Full-time Employment,17652.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,18420.0,South America
Colombia,Bachelor’s degree,4.0,Full-time Employment,11472.0,South America
Argentina,Less than a Bachelors,11.0,Self-employed/Freelancer,25000.0,South America
Brazil,Master’s degree,6.0,Full-time Employment,21444.0,South America
Brazil,Bachelor’s degree,2.0,Full-time Employment,21991.0,South America
Argentina,Bachelor’s degree,19.0,Full-time Employment,72000.0,South America
Brazil,Bachelor’s degree,3.0,Full-time Employment,24000.0,South America
Peru,Post grad,1.0,Full-time Employment,14760.0,South America
Brazil,Post grad,20.0,Full-time Employment,35736.0,South America
